application_id,credit_score,income,dti,employment_status,age,loan_amount
20001,608,185570,0.16,unemployed,49,333859
20002,522,97505,0.3,employed,46,262915
20003,830,38193,0.49,unemployed,57,386273
20004,510,58727,0.42,employed,21,358333
20005,411,68208,0.49,employed,21,334649
20006,433,62027,0.17,unemployed,28,301356
20007,592,49395,0.18,unemployed,45,175365
20008,636,83123,0.15,self-employed,30,125595
20009,702,62329,0.38,unemployed,27,204486
20010,320,63612,0.28,self-employed,60,192182
20011,737,84473,0.35,employed,45,135678
20012,524,163433,0.37,unemployed,64,404012
20013,516,62018,0.24,self-employed,30,411605
20014,753,183601,0.23,employed,43,168308
20015,752,48597,0.17,employed,49,136140
20016,669,33584,0.21,employed,35,101029
20017,850,47205,0.15,self-employed,27,374486
20018,821,77764,0.12,unemployed,25,474944
20019,650,33674,0.15,unemployed,26,357670
20020,633,69906,0.1,self-employed,33,214100
20021,740,121432,0.43,employed,34,412609
20022,651,129706,0.28,employed,24,335302
20023,743,79789,0.56,unemployed,58,98271
20024,498,52457,0.41,self-employed,55,481017
20025,486,147931,0.48,unemployed,52,227525
20026,515,85626,0.5,self-employed,37,101381
20027,474,154540,0.41,unemployed,22,125307
20028,725,136864,0.27,unemployed,46,199659
20029,313,46235,0.23,self-employed,56,356612
20030,715,78216,0.55,employed,38,366759
20031,421,93853,0.16,unemployed,55,92864
20032,588,169258,0.2,employed,32,411829
20033,410,80722,0.58,employed,55,72446
20034,508,144000,0.54,unemployed,42,148207
20035,394,107895,0.33,employed,51,404691
20036,808,51514,0.4,self-employed,60,144709
20037,348,95144,0.41,self-employed,53,222958
20038,337,143281,0.53,employed,40,208420
20039,528,165677,0.14,self-employed,61,431228
20040,639,134219,0.23,self-employed,58,402388
20041,608,34312,0.17,employed,35,336640
20042,419,52512,0.42,unemployed,35,377917
20043,597,62953,0.39,unemployed,36,262071
20044,679,195217,0.18,unemployed,61,318548
20045,358,156564,0.29,employed,44,462831
20046,583,127278,0.16,employed,65,121696
20047,639,42537,0.17,employed,45,153220
20048,671,49955,0.47,self-employed,24,124431
20049,350,101628,0.52,unemployed,28,341114
20050,703,27156,0.12,self-employed,57,477176
20051,697,99343,0.42,unemployed,39,122011
20052,554,21773,0.28,employed,53,284448
20053,593,170957,0.4,self-employed,49,377228
20054,750,133468,0.19,self-employed,56,102420
20055,722,154598,0.15,unemployed,46,214410
20056,796,199002,0.46,employed,30,25562
20057,603,90651,0.21,unemployed,31,191430
20058,649,45220,0.37,employed,29,481739
20059,653,136620,0.4,self-employed,61,195375
20060,342,152878,0.43,employed,62,293575
20061,742,166750,0.54,self-employed,48,389632
20062,307,52972,0.38,unemployed,24,324549
20063,835,21477,0.41,self-employed,47,331969
20064,444,34818,0.39,self-employed,44,82523
20065,722,181013,0.13,unemployed,25,294892
20066,436,153882,0.12,employed,39,499303
20067,383,98717,0.57,self-employed,31,53762
20068,504,61305,0.2,self-employed,62,495065
20069,483,21018,0.48,unemployed,31,176792
20070,430,27175,0.53,employed,44,328990
20071,582,139168,0.18,employed,24,9182
20072,410,74093,0.27,employed,27,49228
20073,540,166819,0.4,self-employed,49,376961
20074,389,63306,0.14,self-employed,24,87155
20075,441,34107,0.17,employed,22,408911
20076,559,83109,0.56,employed,64,413224
20077,353,32655,0.17,unemployed,63,437528
20078,779,93745,0.32,self-employed,60,341554
20079,410,154261,0.52,employed,22,162066
20080,327,166979,0.17,self-employed,63,415319
20081,711,88438,0.55,self-employed,40,262477
20082,671,154020,0.5,self-employed,42,152357
20083,594,96772,0.52,self-employed,65,412894
20084,405,20574,0.34,self-employed,24,208837
20085,728,191871,0.28,unemployed,55,463828
20086,782,194633,0.26,unemployed,59,86982
20087,410,183670,0.51,employed,22,39282
20088,737,148475,0.16,employed,43,148727
20089,849,129191,0.47,employed,60,476490
20090,777,84872,0.12,employed,22,365533
20091,790,45090,0.17,self-employed,61,264556
20092,687,170482,0.2,unemployed,61,162012
20093,845,140893,0.28,self-employed,50,218617
20094,734,95311,0.59,unemployed,63,59219
20095,485,65713,0.21,unemployed,42,299371
20096,831,127146,0.26,employed,61,416620
20097,318,48227,0.38,self-employed,29,459996
20098,345,46152,0.11,self-employed,23,130176
20099,392,44127,0.27,unemployed,41,131587
20100,733,82091,0.31,unemployed,44,142837
20101,576,75636,0.38,self-employed,34,117192
20102,426,109909,0.29,unemployed,36,378375
20103,609,60665,0.2,self-employed,63,127742
20104,722,189947,0.35,self-employed,42,458252
20105,361,70319,0.43,unemployed,62,240432
20106,373,88857,0.13,self-employed,60,408205
20107,569,126779,0.5,employed,43,437481
20108,383,152966,0.48,unemployed,63,254923
20109,618,68252,0.52,unemployed,65,68615
20110,668,191144,0.5,employed,55,234941
20111,674,112024,0.24,self-employed,61,431322
20112,443,136568,0.34,unemployed,34,300477
20113,789,136679,0.5,employed,51,313853
20114,546,189019,0.12,self-employed,40,140334
20115,411,58584,0.23,self-employed,31,421095
20116,412,109320,0.42,unemployed,28,86362
