application_id,credit_score,income,dti,employment_status,age,loan_amount
1,769,49453,0.12,employed,58,60814
2,349,24953,0.43,employed,28,201417
3,695,76966,0.58,employed,48,147960
4,366,194036,0.54,unemployed,25,426417
5,571,178804,0.3,self-employed,39,414472
6,484,54963,0.44,self-employed,34,465850
7,647,101231,0.33,unemployed,43,309316
8,466,98452,0.47,self-employed,29,417327
9,773,151148,0.17,employed,52,81788
10,440,70691,0.48,unemployed,65,438457
11,706,40342,0.16,self-employed,21,272628
12,782,20771,0.16,self-employed,24,408610
13,765,187897,0.54,self-employed,60,258243
14,721,169664,0.52,unemployed,65,15721
15,563,100174,0.32,unemployed,45,438430
16,362,142116,0.44,employed,52,54666
17,507,116805,0.29,employed,54,157154
18,551,68680,0.25,self-employed,42,474691
19,457,150473,0.14,unemployed,38,208352
20,394,61939,0.23,employed,63,195050
21,381,41936,0.4,employed,52,302890
22,590,180012,0.5,unemployed,56,242312
23,741,70442,0.29,employed,62,449906
24,757,116439,0.59,employed,62,232536
25,725,55151,0.34,employed,46,41422
26,827,43943,0.45,self-employed,35,182349
27,578,155409,0.36,employed,64,494708
28,564,197672,0.31,self-employed,24,292910
29,794,193025,0.45,unemployed,65,456616
30,327,66947,0.33,employed,58,268600
31,607,96024,0.2,unemployed,49,291813
32,702,182483,0.26,employed,56,441593
33,505,105628,0.28,unemployed,57,30593
34,463,68740,0.4,employed,23,495429
35,633,195799,0.17,employed,38,310857
36,601,107248,0.4,self-employed,29,485661
37,594,136039,0.53,unemployed,60,144274
38,447,124831,0.31,employed,33,16449
39,746,164460,0.3,employed,51,65572
40,325,190600,0.57,unemployed,31,290277
41,633,125166,0.38,unemployed,32,406408
42,717,70589,0.34,self-employed,59,14399
43,443,82999,0.2,unemployed,37,165416
44,823,86376,0.49,employed,43,99043
45,459,41434,0.58,employed,55,284871
46,325,46606,0.17,employed,49,321290
47,845,47858,0.39,unemployed,35,375781
48,837,121715,0.24,self-employed,35,380658
49,759,29178,0.21,unemployed,45,295002
50,623,86469,0.1,employed,44,130576
51,442,171988,0.47,unemployed,56,447508
52,678,170278,0.26,unemployed,22,459733
53,762,42568,0.29,unemployed,43,180165
54,365,63975,0.16,self-employed,64,458912
55,511,25124,0.6,employed,60,262208
56,754,154243,0.34,unemployed,62,432638
57,846,171958,0.24,self-employed,22,174671
58,732,120738,0.4,unemployed,56,94894
59,338,165494,0.2,unemployed,30,290840
60,494,182214,0.57,unemployed,26,214857
61,451,189898,0.37,employed,29,418725
62,411,73304,0.16,unemployed,24,134052
63,348,160996,0.34,self-employed,49,458787
64,535,64850,0.36,employed,43,144421
65,560,130569,0.17,self-employed,60,90972
66,685,97952,0.17,unemployed,28,335685
67,463,171436,0.4,employed,36,114915
68,519,163528,0.1,employed,52,20479
69,365,159108,0.32,unemployed,65,466928
70,581,52243,0.48,unemployed,39,304781
71,309,91077,0.35,self-employed,59,322563
